Venue,Result,Opponent,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att1,Cmp%,PrgP,Carries,PrgC,Att2,Succ
Home,2,Newcastle Utd,63,1,0,0,0,3,2,0,0,43,0,0,0,0.7,0.7,0.4,4,0,27,38,71.1,3,36,3,3,2
Away,-1,Manchester Utd,21,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,12,15,80,1,13,0,1,1
Away,-1,Everton,90,0,0,0,0,1,1,0,0,44,4,0,0,0,0,0.3,5,0,32,34,94.1,2,27,5,2,2
Home,3,Southampton,90,0,1,0,0,3,1,1,0,44,0,0,0,0.5,0.5,0.5,5,1,23,34,67.6,1,36,3,1,0
Home,2,West Ham,90,0,1,0,0,3,0,0,0,63,2,0,1,0.4,0.4,0.5,8,1,35,47,74.5,2,43,12,8,3
Away,3,Leeds United,77,1,0,0,0,7,2,0,0,38,0,0,2,1.3,1.3,0.1,6,1,16,25,64,2,24,1,3,1
Away,5,Norwich City,77,2,0,0,0,3,2,0,0,51,1,0,2,0.2,0.2,0.4,3,0,29,39,74.4,2,30,1,1,1
Home,-1,Manchester City,83,1,0,0,0,1,1,1,0,33,0,0,0,0.1,0.1,0,2,0,13,24,54.2,1,21,1,2,0
Home,0,Burnley,90,0,0,0,0,4,1,0,0,59,1,0,1,0.1,0.1,0.1,7,0,32,39,82.1,5,41,7,11,5
Away,1,Wolves,70,0,0,0,0,1,0,0,0,29,0,0,1,0,0,0.3,2,0,17,22,77.3,2,17,2,3,2
Home,1,Brentford,90,1,0,0,0,6,3,0,0,61,2,0,0,0.3,0.3,0.1,5,1,37,49,75.5,3,31,4,0,0
Home,1,Wolves,90,0,0,0,0,5,1,1,0,37,0,0,1,0.4,0.4,0.7,7,0,19,30,63.3,1,27,6,3,2
Away,1,Watford,90,1,1,0,0,1,1,0,0,62,2,2,2,0.1,0.1,0.1,3,2,37,50,74,6,36,6,2,1
Home,2,Leicester City,84,0,0,0,0,5,1,0,0,52,4,2,1,0.3,0.3,0.1,4,0,20,27,74.1,2,34,4,6,0
Home,-2,Liverpool,73,0,0,0,0,1,1,0,0,29,0,0,1,0,0,0,2,0,15,21,71.4,1,23,1,1,0
Away,1,Aston Villa,68,1,0,0,0,3,1,0,0,45,1,1,1,0.1,0.1,0.8,4,0,21,31,67.7,3,26,6,2,0
Away,-3,Crystal Palace,90,0,0,0,0,1,0,0,0,47,4,1,0,0,0,0.1,2,0,26,32,81.3,1,27,2,3,1
Home,-1,Brighton,90,0,0,0,0,3,0,1,0,55,0,1,3,0.2,0.2,0.6,9,0,29,38,76.3,6,36,1,3,2
Away,-1,Southampton,90,0,0,0,0,4,2,0,0,61,0,2,1,0.6,0.6,0.2,7,0,37,46,80.4,5,39,2,5,2
Away,2,Chelsea,89,1,0,1,1,2,0,0,0,47,1,4,1,0.9,0.1,0.1,5,2,20,29,69,3,18,5,3,1
Home,2,Manchester Utd,73,1,0,1,1,4,1,0,0,39,2,0,1,1,0.2,0,4,2,23,29,79.3,2,26,2,0,0
Away,1,West Ham,86,0,1,0,0,2,1,1,0,35,2,1,2,0.1,0.1,0.2,3,2,19,24,79.2,0,16,5,2,1
Home,1,Leeds United,67,0,0,0,0,2,1,0,0,44,2,0,0,0.1,0.1,0,4,0,19,26,73.1,0,27,2,7,3
Away,-3,Tottenham,90,0,0,0,0,2,0,0,0,37,0,1,1,0.1,0.1,0,4,0,17,26,65.4,4,18,2,3,2
