Venue,Opponent,Last Opponent,Result,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att1,Cmp%,PrgP,Carries,PrgC,Att2,Succ
Home,Southampton,Everton Away,-1,90,0,0,0,0,1,1,0,0,44,4,0,0,0,0,0.3,5,0,32,34,94.1,2,27,5,2,2
Home,West Ham,Southampton Home,3,90,0,1,0,0,3,1,1,0,44,0,0,0,0.5,0.5,0.5,5,1,23,34,67.6,1,36,3,1,0
Away,Leeds United,West Ham Home,2,90,0,1,0,0,3,0,0,0,63,2,0,1,0.4,0.4,0.5,8,1,35,47,74.5,2,43,12,8,3
Away,Norwich City,Leeds United Away,3,77,1,0,0,0,7,2,0,0,38,0,0,2,1.3,1.3,0.1,6,1,16,25,64,2,24,1,3,1
Home,Manchester City,Norwich City Away,5,77,2,0,0,0,3,2,0,0,51,1,0,2,0.2,0.2,0.4,3,0,29,39,74.4,2,30,1,1,1
Home,Burnley,Manchester City Home,-1,83,1,0,0,0,1,1,1,0,33,0,0,0,0.1,0.1,0,2,0,13,24,54.2,1,21,1,2,0
Away,Wolves,Burnley Home,0,90,0,0,0,0,4,1,0,0,59,1,0,1,0.1,0.1,0.1,7,0,32,39,82.1,5,41,7,11,5
Home,Brentford,Wolves Away,1,70,0,0,0,0,1,0,0,0,29,0,0,1,0,0,0.3,2,0,17,22,77.3,2,17,2,3,2
Home,Wolves,Brentford Home,1,90,1,0,0,0,6,3,0,0,61,2,0,0,0.3,0.3,0.1,5,1,37,49,75.5,3,31,4,0,0
Away,Watford,Wolves Home,1,90,0,0,0,0,5,1,1,0,37,0,0,1,0.4,0.4,0.7,7,0,19,30,63.3,1,27,6,3,2
Home,Leicester City,Watford Away,1,90,1,1,0,0,1,1,0,0,62,2,2,2,0.1,0.1,0.1,3,2,37,50,74,6,36,6,2,1
Home,Liverpool,Leicester City Home,2,84,0,0,0,0,5,1,0,0,52,4,2,1,0.3,0.3,0.1,4,0,20,27,74.1,2,34,4,6,0
Away,Aston Villa,Liverpool Home,-2,73,0,0,0,0,1,1,0,0,29,0,0,1,0,0,0,2,0,15,21,71.4,1,23,1,1,0
Away,Crystal Palace,Aston Villa Away,1,68,1,0,0,0,3,1,0,0,45,1,1,1,0.1,0.1,0.8,4,0,21,31,67.7,3,26,6,2,0
Home,Brighton,Crystal Palace Away,-3,90,0,0,0,0,1,0,0,0,47,4,1,0,0,0,0.1,2,0,26,32,81.3,1,27,2,3,1
Away,Southampton,Brighton Home,-1,90,0,0,0,0,3,0,1,0,55,0,1,3,0.2,0.2,0.6,9,0,29,38,76.3,6,36,1,3,2
Away,Chelsea,Southampton Away,-1,90,0,0,0,0,4,2,0,0,61,0,2,1,0.6,0.6,0.2,7,0,37,46,80.4,5,39,2,5,2
Home,Manchester Utd,Chelsea Away,2,89,1,0,1,1,2,0,0,0,47,1,4,1,0.9,0.1,0.1,5,2,20,29,69,3,18,5,3,1
Away,West Ham,Manchester Utd Home,2,73,1,0,1,1,4,1,0,0,39,2,0,1,1,0.2,0,4,2,23,29,79.3,2,26,2,0,0
Home,Leeds United,West Ham Away,1,86,0,1,0,0,2,1,1,0,35,2,1,2,0.1,0.1,0.2,3,2,19,24,79.2,0,16,5,2,1
Away,Tottenham,Leeds United Home,1,67,0,0,0,0,2,1,0,0,44,2,0,0,0.1,0.1,0,4,0,19,26,73.1,0,27,2,7,3
Away,Newcastle Utd,Tottenham Away,-3,90,0,0,0,0,2,0,0,0,37,0,1,1,0.1,0.1,0,4,0,17,26,65.4,4,18,2,3,2
Home,Everton,Newcastle Utd Away,-2,90,0,0,0,0,4,1,0,0,30,0,0,0,0.2,0.2,0.1,3,0,15,21,71.4,2,17,4,0,0
Away,Crystal Palace,Everton Home,4,77,0,1,0,0,3,0,0,0,54,1,0,0,0.4,0.4,0.1,8,3,36,44,81.8,2,29,2,4,1
Home,Leicester City,Crystal Palace Away,2,90,0,0,0,0,3,0,0,0,48,2,0,3,0.3,0.3,0,3,1,25,35,71.4,1,31,5,3,1
Away,Bournemouth,Leicester City Home,2,83,0,0,0,0,1,1,0,0,41,1,0,1,0,0,0.3,5,1,28,34,82.4,1,25,3,1,0
Home,Fulham,Bournemouth Away,3,87,0,0,0,0,1,0,0,0,55,1,3,0,0,0,0.2,3,1,36,41,87.8,2,41,6,7,2
Home,Aston Villa,Fulham Home,1,90,0,1,0,0,2,1,0,0,62,0,1,3,0.5,0.5,0.2,3,1,39,49,79.6,6,39,6,12,3
Away,Manchester Utd,Aston Villa Home,1,87,0,1,0,0,3,0,0,0,46,0,0,0,0.5,0.5,0.3,5,1,28,34,82.4,2,31,3,5,5
Away,Brentford,Manchester Utd Away,-2,90,1,0,0,0,4,1,1,0,46,2,0,0,0.4,0.4,0,3,0,24,34,70.6,3,23,4,2,1
Home,Tottenham,Brentford Away,3,89,0,2,0,0,3,1,0,0,56,2,1,0,0.2,0.2,0.3,4,2,42,47,89.4,3,39,1,1,0
Home,Liverpool,Tottenham Home,2,90,0,0,0,0,3,1,0,0,51,1,0,1,0.3,0.3,0.3,9,2,33,41,80.5,2,40,4,3,1
Away,Leeds United,Liverpool Home,1,89,2,0,1,1,3,2,0,0,37,1,1,2,1.9,1.3,0,4,1,18,24,75,1,18,4,3,1
Away,Southampton,Leeds United Away,1,81,1,0,0,0,1,1,0,0,37,1,0,1,0.1,0.1,0.1,2,1,16,27,59.3,0,21,4,3,1
Home,Nott'ham Forest,Southampton Away,0,90,0,0,0,0,2,0,1,0,43,2,2,1,0.1,0.1,0,2,0,23,33,69.7,1,26,1,3,1
Away,Chelsea,Nott'ham Forest Home,5,26,0,1,0,0,1,0,0,0,22,0,0,1,0.2,0.2,0.2,5,1,15,20,75,2,13,3,0,0
Away,Wolves,Chelsea Away,1,90,0,1,0,0,1,0,1,0,53,2,0,0,0.1,0.1,0.9,4,1,34,47,72.3,3,32,7,2,0
Home,West Ham,Wolves Away,2,89,0,0,0,0,0,0,0,0,60,0,0,1,0,0,0.3,5,0,40,46,87,4,45,5,10,4
Away,Brighton,West Ham Home,2,90,1,0,0,0,1,1,0,0,49,2,0,2,0.7,0.7,0.7,5,0,29,38,76.3,4,32,1,2,0
Home,Newcastle Utd,Brighton Away,2,90,1,0,0,0,1,1,1,0,34,4,2,1,0.4,0.4,0.1,1,0,9,19,47.4,1,10,2,0,0
Away,Tottenham,Newcastle Utd Home,0,90,0,0,0,0,2,1,0,0,45,0,0,0,0.1,0.1,0.1,6,0,26,35,74.3,3,32,11,5,1
Home,Manchester Utd,Tottenham Away,2,90,0,1,0,0,1,0,0,0,53,0,0,1,0,0,0.1,4,1,28,38,73.7,3,39,9,5,0
Away,Everton,Manchester Utd Home,1,90,1,0,0,0,5,2,0,0,66,1,0,1,0.3,0.3,0.4,9,1,39,53,73.6,3,41,11,4,3
Home,Brentford,Everton Away,-1,90,0,0,0,0,4,0,0,0,72,1,1,2,0.2,0.2,0.3,7,0,40,49,81.6,3,50,8,9,5
Home,Manchester City,Brentford Home,0,90,0,1,0,0,7,2,0,0,58,1,0,0,0.3,0.3,0.7,7,1,37,46,80.4,6,44,4,3,2
Away,Aston Villa,Manchester City Home,-2,90,1,0,1,1,0,0,0,0,42,2,1,1,0.8,0,0.2,1,0,19,27,70.4,3,22,2,4,1
Away,Leicester City,Aston Villa Away,2,90,1,0,0,0,6,2,1,0,74,4,0,1,0.3,0.3,0,2,1,29,51,56.9,4,39,5,11,4
Home,Everton,Leicester City Away,1,90,0,0,0,0,2,0,0,0,61,2,1,2,0.1,0.1,0.1,4,0,28,42,66.7,2,28,2,7,3
Home,Bournemouth,Everton Home,4,81,1,1,0,0,3,1,0,0,54,1,0,4,0.4,0.4,0.5,3,1,27,39,69.2,1,35,3,4,1
Away,Fulham,Bournemouth Home,1,90,0,0,0,0,4,1,0,0,92,3,0,0,0.5,0.5,0.1,9,0,57,79,72.2,9,66,8,7,3
Home,Crystal Palace,Fulham Away,3,71,0,0,0,0,0,0,0,0,45,2,0,0,0,0,0.1,5,1,28,35,80,4,34,5,3,1
Home,Leeds United,Crystal Palace Home,3,90,2,1,0,0,3,2,0,0,54,1,0,2,0.4,0.4,0.4,4,2,25,42,59.5,5,34,4,3,0
Away,Liverpool,Leeds United Home,3,31,0,0,0,0,0,0,0,0,17,1,0,0,0,0,0,1,1,9,14,64.3,0,11,2,2,1
Away,West Ham,Liverpool Away,0,90,0,0,0,0,0,0,1,0,45,3,0,1,0,0,0.8,5,1,22,34,64.7,2,28,5,5,3
Home,Southampton,West Ham Away,0,90,0,0,0,1,3,1,0,0,55,2,1,4,1,0.3,0,2,0,27,39,69.2,1,28,3,3,0
Away,Manchester City,Southampton Home,0,90,1,1,0,0,2,1,0,0,60,3,0,0,0.3,0.3,0.6,10,2,39,50,78,7,39,11,7,2
Home,Chelsea,Manchester City Away,-3,79,0,0,0,0,1,0,0,0,30,0,0,1,0.1,0.1,0,1,0,15,22,68.2,1,20,0,4,2
Away,Newcastle Utd,Chelsea Home,2,73,0,0,0,0,5,2,0,0,46,2,0,0,0.3,0.3,0.1,5,0,25,34,73.5,3,31,7,4,2
Home,Brighton,Newcastle Utd Away,2,86,0,0,0,0,2,1,0,0,38,6,0,0,0.3,0.3,0,2,1,17,23,73.9,4,22,5,2,0
Away,Nott'ham Forest,Brighton Home,-3,90,0,0,0,0,2,0,0,0,39,4,0,1,0.1,0.1,0,5,0,20,30,66.7,4,23,4,5,4
Home,Wolves,Nott'ham Forest Away,-1,90,0,0,0,0,1,1,0,0,65,1,0,0,0.1,0.1,0.1,3,0,42,55,76.4,3,37,5,3,1
