1,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,7,85.7,65,11,4,4,100,1,1,100,0,0,0,0,0,0.1,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,2,0,0,0,0,0,1,1,0,0,0,0,0,36,50,72,473,99,20,22,90.9,14,20,70,0,5,0,1,0.4,0.2,2,2,1,1,5,1,1,1,0,0,0,1,0,1,0,0,0,2,3,1,0,2,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.571,1.0,0.531,0.667,0.611,0.483,0.52,0.209,0.616,0,0,0,0
2,-2,32,2,2,0,0,0,0,0,0,0,0,0,0,0,0,16,22,72.7,181,56,13,15,86.7,3,3,100,0,1,0,0,0,0,1,2,0,0,4,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,66.7,161,29,9,11,81.8,3,4,75,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,3,33.3,2,2,0,2,1,2,2,0,1,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.424,1.0,0.68,0.615,0.565,0.76,0.476,0.375,0.711,0,0,1,1
3,-2,60,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,30,76.7,235,38,16,18,88.9,3,5,60,1,2,50,0,0,0,1,1,1,0,3,2,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,90,2,1,0,1,0,0,0,0,0,0,0,0,0,0,29,36,80.6,472,117,14,17,82.4,14,15,93.3,1,3,33.3,0,0,0,0,3,2,0,6,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,-1,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.086,1.0,1.0,0.2,0.167,1.0,0.427,1.0,1.0,0,0,1,0
4,-5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,71.4,73,23,3,4,75,2,3,66.7,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,90,6,4,1,1,0,0,0,0,0,0,0,0,0,0,43,55,78.2,531,128,27,31,87.1,7,9,77.8,2,4,50,0,0.2,0.2,2,2,2,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.606,0.5,0.08,0.308,0.565,0.147,0.5,-0.625,0.12,0,0,6,0
5,1,90,8,6,1,0,1,0,0,0,0,0,0,0,0,0,27,33,81.8,389,92,15,18,83.3,11,13,84.6,1,2,50,0,0.5,0.1,4,2,2,0,8,2,0,0,0,2,2,3,66.7,1,0,0,0,0,2,0,0,90,6,4,0,0,2,0,0,0,0,0,0,0,0,0,31,36,86.1,392,97,21,23,91.3,9,10,90,0,0,0,0,0.3,0.2,1,1,2,0,5,2,1,0,2,0,1,1,100,0,1,0,1,2,4,0,0,0,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.486,0.5,0.156,0.4,0.444,0.153,0.333,-0.081,0.212,0,0,1,0
6,1,90,3,1,0,0,1,1,0,1,0,0,0,0,1,0,27,34,79.4,336,61,20,22,90.9,5,8,62.5,1,2,50,0,0,0.1,0,3,0,0,5,2,1,1,1,0,0,0,0,0,1,0,1,2,4,1,0,45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,17,76.5,117,13,7,9,77.8,2,2,100,0,1,0,0,0.2,0.3,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.364,1.0,0.6,0.692,0.609,0.853,0.72,0.104,0.651,1,1,2,2
7,2,86,4,3,0,0,1,0,0,1,1,0,0,0,0,0,30,37,81.1,376,59,20,22,90.9,8,9,88.9,0,0,0,1,0.2,0.4,3,1,1,0,4,3,3,2,1,0,1,3,33.3,2,0,0,0,1,4,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,85.7,65,11,4,4,100,1,1,100,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.714,1.0,0.469,0.733,0.667,0.475,0.587,0.14,0.566,0,0,1,1
8,0,89,4,3,0,1,0,0,0,0,0,0,0,0,0,0,32,41,78,452,89,19,22,86.4,11,12,91.7,0,1,0,0,0.1,0.1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,90,3,0,2,0,1,0,0,0,0,0,0,0,0,0,36,48,75,493,158,20,21,95.2,9,12,75,3,9,33.3,0,0.1,0.2,2,1,1,1,1,1,1,1,0,0,1,4,25,3,3,0,3,1,2,1,0,0,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.758,1.0,0.32,0.923,0.783,0.56,0.671,-0.271,0.434,0,0,0,0
9,0,45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,16,75,157,32,7,8,87.5,4,6,66.7,0,0,0,0,0.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,26,36,72.2,324,64,20,22,90.9,5,12,41.7,0,1,0,0,0,0,0,5,0,0,6,1,0,0,1,0,1,1,100,0,2,2,0,0,1,0,0,-3,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.576,1.0,0.52,0.462,0.826,0.547,0.61,-0.188,0.542,0,0,4,1
10,2,90,6,3,1,0,0,2,0,0,0,0,0,0,0,0,26,41,63.4,514,136,12,14,85.7,9,16,56.3,5,8,62.5,0,0.3,0.3,3,3,0,0,3,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,64,3,2,1,0,0,0,0,0,0,0,0,0,0,0,20,31,64.5,244,43,12,15,80,5,9,55.6,1,2,50,0,0.1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.743,1.0,0.469,0.533,0.833,0.483,0.667,0.081,0.535,0,1,2,0
11,2,84,4,3,1,0,0,0,0,1,1,0,0,0,0,0,21,32,65.6,409,85,11,15,73.3,7,9,77.8,3,6,50,1,0.2,0.1,3,1,1,1,2,0,0,0,0,0,0,2,0,2,1,0,1,1,1,1,0,90,2,2,0,0,0,0,0,1,1,0,0,0,0,0,36,50,72,473,99,20,22,90.9,14,20,70,0,5,0,1,0.4,0.2,2,2,1,1,5,1,1,1,0,0,0,1,0,1,0,0,0,2,3,1,0,1,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.485,0.5,0.16,0.231,0.522,0.227,0.378,-0.292,0.181,0,0,0,0
12,1,89,6,2,3,0,0,1,0,0,0,0,0,0,0,0,26,36,72.2,489,114,9,11,81.8,14,20,70,3,4,75,0,0.2,0.3,2,2,2,0,4,2,0,1,1,0,1,1,100,0,1,0,1,0,2,0,0,90,7,3,0,2,1,1,0,0,0,0,0,0,0,0,32,41,78,400,91,24,26,92.3,6,11,54.5,1,2,50,0,0,0,1,1,1,1,2,2,2,0,2,0,1,4,25,3,1,0,1,0,2,1,0,-1,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.143,1.0,0.875,0.6,0.056,0.805,0.347,0.802,0.939,0,0,2,0
13,-4,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,27,81.5,311,55,14,16,87.5,6,6,100,1,2,50,0,0,0.1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,90,10,6,1,0,2,1,0,1,1,0,0,0,0,0,36,43,83.7,575,171,19,21,90.5,13,14,92.9,3,6,50,0,0.4,0.3,3,3,1,0,5,0,0,0,0,0,0,1,0,1,2,0,2,3,3,0,0,3,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.515,1.0,0.52,0.923,0.565,0.667,0.659,-0.083,0.614,1,0,3,2
