2,-2,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,10,70,78,14,5,5,100,2,5,40,0,0,0,0,0.1,0,2,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,2,0,1,0,0,36,2,79,5,4,0,0,1,0,0,0,0,0,0,0,0,0,12,16,75,184,7,5,7,71.4,7,8,87.5,0,0,0,0,0.5,0.1,2,0,0,0,0,5,4,2,3,0,3,3,100,0,0,0,0,0,5,0,0,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.424,1.0,0.68,0.615,0.565,0.76,0.476,0.375,0.711,0,0,0,0
8,0,78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,40,50,20,1,1,100,0,0,0,1,1,100,0,0,0,1,0,0,0,0,2,2,0,1,1,0,1,0,1,0,0,0,0,2,1,0,35,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,77.8,123,11,2,2,100,5,5,100,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.758,1.0,0.32,0.923,0.783,0.56,0.671,-0.271,0.434,0,0,1,1
9,2,10,1,0,0,0,1,0,0,1,0,0,0,1,0,0,5,7,71.4,94,7,3,3,100,1,2,50,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,34,-3,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,75,105,45,3,5,60,3,3,100,0,0,0,0,0,0,0,1,1,0,3,2,1,1,1,0,2,2,100,0,0,0,0,0,2,1,0,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.576,1.0,0.52,0.462,0.826,0.547,0.61,-0.188,0.542,0,0,0,0
11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,84,7,5,0,1,1,0,0,0,0,0,0,0,0,0,39,53,73.6,598,135,20,26,76.9,17,20,85,0,1,0,0,1.1,0.5,6,0,4,2,3,1,1,1,0,0,0,1,0,1,2,0,2,0,1,0,0,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.485,0.5,0.16,0.231,0.522,0.227,0.378,-0.292,0.181,0,0,0,0
13,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,66.7,36,2,1,2,50,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,84,6,4,0,1,1,0,0,1,1,0,0,0,0,0,22,28,78.6,349,64,14,15,93.3,5,8,62.5,3,5,60,1,0.7,0.5,3,0,3,2,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.515,1.0,0.52,0.923,0.565,0.667,0.659,-0.083,0.614,1,0,2,1
14,-1,27,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,12,83.3,168,38,4,4,100,6,6,100,0,0,0,0,0.1,0.1,1,1,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,31,0,90,4,2,0,2,0,0,0,2,1,0,1,0,0,0,23,29,79.3,356,102,15,16,93.8,7,8,87.5,1,3,33.3,1,0.4,0.4,3,2,1,1,2,3,1,1,2,0,1,1,100,0,0,0,0,0,3,0,0,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.2,1.0,0.781,0.533,0.278,0.576,0.427,0.419,0.838,0,1,4,0
15,-1,90,4,2,0,0,2,0,0,2,1,0,0,1,0,0,21,27,77.8,280,56,14,16,87.5,5,7,71.4,1,2,50,1,0.6,0.1,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,3,0,0,30,3,90,6,3,0,2,1,0,0,2,1,0,1,0,0,0,34,43,79.1,552,105,18,23,78.3,11,12,91.7,3,3,100,1,0.9,0.4,2,2,2,2,3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,0.829,1.0,0.469,0.333,1.0,0.364,0.693,-0.105,0.505,0,0,1,0
16,3,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,50,149,3,6,10,60,2,4,50,1,3,33.3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,100,0,2,0,2,1,2,0,0,29,3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,35,74.3,335,36,18,23,78.3,6,8,75,1,2,50,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,1.0,1.0,0.28,0.615,1.0,0.493,0.963,-0.875,0.349,0,1,1,0
17,2,90,4,1,2,0,1,0,0,1,0,1,0,0,0,0,15,25,60,262,84,9,11,81.8,3,5,60,3,7,42.9,1,0.4,0.4,3,0,0,0,1,3,2,2,1,0,2,2,100,0,1,1,0,0,3,0,0,28,3,76,3,2,0,0,1,0,0,1,1,0,0,0,0,0,20,26,76.9,273,45,13,15,86.7,4,4,100,2,4,50,0,0.2,0.1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.171,1.0,0.844,0.333,0.333,0.746,0.56,0.535,0.869,0.758,1.0,0.4,0.462,0.957,0.573,0.683,-0.271,0.434,1,0,4,1
18,3,81,2,2,0,0,0,0,0,0,0,0,0,0,0,0,17,26,65.4,290,25,10,13,76.9,4,6,66.7,3,6,50,0,0.3,0.3,1,0,1,0,2,4,3,1,2,1,1,3,33.3,2,1,0,1,0,4,0,0,27,1,90,4,2,0,1,0,1,0,0,0,0,0,0,0,0,32,38,84.2,480,74,19,23,82.6,10,10,100,2,2,100,0,0.2,0.1,2,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.212,1.0,0.84,0.308,0.565,0.813,0.598,0.25,0.807,1.0,1.0,0.281,0.867,0.889,0.381,1.0,-0.349,0.404,2,0,2,2
