1,Fri,Away,Crystal Palace,Everton Home,2,Y,90,3,1,1,0,0,1,0,1,0,1,0,0,0,0,25,35,71.4,292,74,16,19,84.2,3,7,42.9,1,4,25,0,0,0.1,0,1,0,0,1,2,1,2,0,0,0,1,0,1,3,0,3,0,2,2,0,
2,Sat,Home,Leicester City,Crystal Palace Away,2,Y,83,5,4,0,0,1,0,0,1,1,0,0,0,0,0,28,34,82.4,395,104,16,18,88.9,6,6,100,2,2,100,0,0.3,0.3,3,1,3,2,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,
3,Sat,Away,Bournemouth,Leicester City Home,3,Y,87,3,2,1,0,0,0,0,1,1,0,0,0,0,0,36,41,87.8,457,130,24,27,88.9,8,9,88.9,1,2,50,0,0.2,0.1,2,3,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,3,4,1,0,
4,Sat,Home,Fulham,Bournemouth Away,1,Y,90,3,2,0,0,1,0,0,1,1,0,0,0,0,0,39,49,79.6,618,119,23,26,88.5,12,13,92.3,4,6,66.7,1,0.2,0.1,2,0,3,0,6,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0,0,
5,Wed,Home,Aston Villa,Fulham Home,1,Y,87,5,2,2,0,1,0,0,1,1,0,0,0,0,0,28,34,82.4,423,125,18,19,94.7,7,9,77.8,3,6,50,1,0.3,0.3,3,3,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,
6,Sun,Away,Manchester Utd,Aston Villa Home,-2,Y,90,3,2,1,0,0,0,0,0,0,0,0,0,0,0,24,34,70.6,418,76,15,19,78.9,5,8,62.5,4,5,80,0,0,0.1,1,0,3,0,3,2,1,0,0,2,1,2,50,1,0,0,0,0,2,0,0,
7,Sun,Away,Brentford,Manchester Utd Away,3,Y,89,4,3,1,0,0,0,0,2,1,1,0,0,0,0,42,47,89.4,540,113,32,34,94.1,8,8,100,2,3,66.7,2,0.3,0.1,3,3,0,0,3,2,1,0,0,2,0,0,0,0,0,0,0,1,3,1,0,
8,Sat,Home,Tottenham,Brentford Away,2,Y,90,9,8,0,0,1,0,0,2,1,0,0,1,0,0,33,41,80.5,566,115,18,19,94.7,12,13,92.3,3,5,60,0,0.3,0.2,5,0,4,3,2,1,1,1,0,0,0,0,0,0,1,0,1,0,1,2,0,
9,Sun,Home,Liverpool,Tottenham Home,1,Y,89,4,1,0,0,2,0,1,1,1,0,0,0,0,0,18,24,75,255,45,13,15,86.7,4,5,80,1,3,33.3,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,2,0,2,1,2,1,0,
10,Sun,Away,Leeds United,Liverpool Home,1,Y,81,2,1,1,0,0,0,0,1,1,0,0,0,0,0,16,27,59.3,240,48,9,12,75,5,7,71.4,1,2,50,0,0.1,0.1,1,0,0,0,0,1,1,1,0,0,1,1,100,0,1,0,1,0,1,1,0,
11,Sun,Away,Southampton,Leeds United Away,0,Y,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,33,69.7,384,86,10,13,76.9,11,12,91.7,2,5,40,0,0,0,0,0,0,0,1,2,2,0,2,0,0,2,0,2,1,0,1,2,4,0,0,
12,Sun,Home,Nott'ham Forest,Southampton Away,5,Y,26,5,5,0,0,0,0,0,1,1,0,0,0,0,0,15,20,75,229,50,11,13,84.6,3,4,75,1,2,50,1,0.2,0.1,3,0,3,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,
13,Sun,Away,Chelsea,Nott'ham Forest Home,1,Y,90,4,2,2,0,0,0,0,1,0,1,0,0,0,0,34,47,72.3,474,145,22,23,95.7,8,15,53.3,3,6,50,1,0.9,0.1,3,3,2,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,
14,Sat,Away,Wolves,Chelsea Away,2,Y,89,5,4,1,0,0,0,0,0,0,0,0,0,0,0,40,46,87,624,128,25,25,100,10,13,76.9,5,7,71.4,0,0.3,0.2,3,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,
15,Mon,Home,West Ham,Wolves Away,2,Y,90,5,4,1,0,0,0,0,0,0,0,0,0,0,0,29,38,76.3,469,144,16,19,84.2,9,10,90,4,8,50,0,0.7,0.3,4,1,4,1,4,2,1,0,1,1,0,0,0,0,2,0,2,0,2,0,0,
16,Sat,Away,Brighton,West Ham Home,2,Y,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,19,47.4,114,30,5,10,50,3,5,60,0,2,0,0,0.1,0.1,1,0,1,0,1,4,2,2,2,0,0,0,0,0,1,0,1,2,6,2,0,
17,Tue,Home,Newcastle Utd,Brighton Away,0,Y,90,6,5,0,0,0,1,0,0,0,0,0,0,0,0,26,35,74.3,431,98,13,15,86.7,12,15,80,1,2,50,0,0.1,0.1,3,1,3,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,
***18,Sun,Away,Tottenham,Newcastle Utd Home,2,Y,90,4,3,0,0,0,1,0,1,1,0,0,0,0,0,28,38,73.7,352,75,21,26,80.8,6,6,100,0,4,0,1,0.1,0.1,2,2,1,0,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,

19,Sun,Home,Manchester Utd,Tottenham Away,1,Y,90,9,5,1,1,1,1,0,1,1,0,0,0,0,0,39,53,73.6,650,175,21,24,87.5,13,16,81.3,4,6,66.7,0,0.4,0.5,4,2,1,0,3,1,0,1,0,0,1,1,100,0,1,0,1,0,1,0,0,
****20,Sat,Away,Everton,Manchester Utd Home,-1,Y,90,7,4,2,0,1,0,0,0,0,0,0,0,0,0,40,49,81.6,529,95,23,24,95.8,10,14,71.4,2,4,50,0,0.3,0.1,4,0,2,0,3,1,1,0,1,0,1,1,100,0,2,0,2,1,2,2,0,
21,Sat,Home,Brentford,Everton Away,0,Y,90,7,6,0,1,0,0,0,1,1,0,0,0,0,0,37,46,80.4,597,152,18,19,94.7,18,19,94.7,1,6,16.7,1,0.7,0.3,2,1,4,0,6,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,
***22,Wed,Home,Manchester City,Brentford Home,-2,Y,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,27,70.4,309,76,8,11,72.7,8,10,80,1,2,50,0,0.2,0.1,1,2,3,1,3,2,2,2,0,0,1,2,50,1,1,0,1,1,3,0,0,
23,Sat,Away,Aston Villa,Manchester City Home,2,Y,90,2,0,1,0,0,1,0,1,0,1,0,0,0,0,29,51,56.9,435,96,18,23,78.3,7,11,63.6,2,8,25,0,0,0.3,0,4,1,1,4,4,2,1,2,1,0,1,0,1,1,0,1,0,4,1,0,
24,Sat,Away,Leicester City,Aston Villa Away,1,Y,90,4,3,1,0,0,0,0,0,0,0,0,0,0,0,28,42,66.7,340,58,14,15,93.3,7,11,63.6,2,5,40,0,0.1,0.1,2,2,0,0,2,2,1,1,0,1,0,1,0,1,2,0,2,1,3,0,0,
