Total,Round,Venue,Result,Opponent,Min,SCA,PassLive,PassDead,TO,Sh,Fld,Def,GCA,PassLive,PassDead,TO,Sh,Fld,Def,Cmp,Att,Cmp1,TotDist,PrgDist,Cmp,Att,Cmp2,Cmp,Att,Cmp%,Cmp,Att,Cmp3,Ast,xAG,xA,KP,aaa,PPA,CrsPA,PrgP,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl1,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
11,34,Away,2,Newcastle Utd,90,6,5,0,1,0,0,0,1,1,0,0,0,0,0,35,41,85.4,519,111,24,25,96,10,12,83.3,1,3,33.3,1,1.1,0.9,4,1,2,1,1,1,0,0,1,0,0,1,0,1,0,0,0,1,2,1,0
12,35,Home,2,West Brom,59,3,2,0,0,1,0,0,0,0,0,0,0,0,0,11,14,78.6,131,12,5,7,71.4,4,5,80,0,0,0,0,0.1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
13,37,Away,2,Crystal Palace,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,66.7,22,11,2,3,66.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,38,Home,2,Brighton,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,25,5,0,1,2,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,Away,-2,Brentford,70,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,10,70,78,14,5,5,100,2,5,40,0,0,0,0,0.1,0,2,0,0,0,0,1,1,0,0,1,0,1,0,1,2,0,2,0,1,0,0
16,2,Home,-2,Chelsea,78,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,40,50,20,1,1,100,0,0,0,1,1,100,0,0,0,1,0,0,0,0,2,2,0,1,1,0,1,0,1,0,0,0,0,2,1,0
17,8,Home,0,Crystal Palace,10,1,0,0,0,1,0,0,1,0,0,0,1,0,0,5,7,71.4,94,7,3,3,100,1,2,50,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
18,9,Home,2,Aston Villa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,11,Home,1,Watford,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,66.7,36,2,1,2,50,1,1,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,13,Home,2,Newcastle Utd,27,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,12,83.3,168,38,4,4,100,6,6,100,0,0,0,0,0.1,0.1,1,1,2,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
