11,Away,Southampton,Leeds United Away,1,Y,81,2,1,1,0,0,0,0,1,1,0,0,0,0,0,16,27,59.3,240,48,9,12,75,5,7,71.4,1,2,50,0,0.1,0.1,1,0,0,0,0,1,1,1,0,0,1,1,100,0,1,0,1,0,1,1,0,90,7,5,1,1,0,0,0,0,0,0,0,0,0,0,37,46,80.4,511,129,22,24,91.7,11,13,84.6,1,4,25,0,0.2,0.1,4,2,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,2,2,2,0,-1
12,Home,Nott'ham Forest,Southampton Away,0,Y,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,23,33,69.7,384,86,10,13,76.9,11,12,91.7,2,5,40,0,0,0,0,0,0,0,1,2,2,0,2,0,0,2,0,2,1,0,1,2,4,0,0,90,3,3,0,0,0,0,0,2,2,0,0,0,0,0,37,50,74,458,96,27,29,93.1,9,16,56.3,0,1,0,1,0.1,0.1,2,2,3,0,6,2,2,0,2,0,1,3,33.3,2,2,0,2,2,4,0,0,1
13,Away,Chelsea,Nott'ham Forest Home,5,Y,26,5,5,0,0,0,0,0,1,1,0,0,0,0,0,15,20,75,229,50,11,13,84.6,3,4,75,1,2,50,1,0.2,0.1,3,0,3,1,2,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,89,5,2,0,1,1,1,0,2,1,0,0,0,1,0,20,29,69,210,64,15,16,93.8,4,6,66.7,0,3,0,0,0.1,0.1,1,1,1,0,3,1,1,1,0,0,0,1,0,1,1,0,1,4,5,1,0,
14,Away,Wolves,Chelsea Away,1,Y,90,4,2,2,0,0,0,0,1,0,1,0,0,0,0,34,47,72.3,474,145,22,23,95.7,8,15,53.3,3,6,50,1,0.9,0.1,3,3,2,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,90,7,5,1,0,1,0,0,0,0,0,0,0,0,0,19,30,63.3,239,91,16,20,80,2,6,33.3,1,2,50,0,0.7,0.6,6,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1
15,Home,West Ham,Wolves Away,2,Y,89,5,4,1,0,0,0,0,0,0,0,0,0,0,0,40,46,87,624,128,25,25,100,10,13,76.9,5,7,71.4,0,0.3,0.2,3,1,2,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,86,3,1,2,0,0,0,0,2,0,2,0,0,0,0,19,24,79.2,278,80,9,10,90,7,8,87.5,2,5,40,1,0.2,0.2,2,0,0,0,0,2,1,1,1,0,1,1,100,0,2,0,2,1,3,2,0,1
16,Away,Brighton,West Ham Home,2,Y,90,5,4,1,0,0,0,0,0,0,0,0,0,0,0,29,38,76.3,469,144,16,19,84.2,9,10,90,4,8,50,0,0.7,0.3,4,1,4,1,4,2,1,0,1,1,0,0,0,0,2,0,2,0,2,0,0,90,9,7,1,1,0,0,0,0,0,0,0,0,0,0,29,38,76.3,535,179,11,14,78.6,14,18,77.8,4,5,80,0,0.6,0.9,5,3,2,1,6,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,0,-1
17,Home,Newcastle Utd,Brighton Away,2,Y,90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,9,19,47.4,114,30,5,10,50,3,5,60,0,2,0,0,0.1,0.1,1,0,1,0,1,4,2,2,2,0,0,0,0,0,1,0,1,2,6,2,0,90,3,1,1,0,1,0,0,0,0,0,0,0,0,0,15,21,71.4,252,73,11,11,100,2,4,50,2,4,50,0,0.1,0.3,1,1,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,-2
18,Away,Tottenham,Newcastle Utd Home,0,Y,90,6,5,0,0,0,1,0,0,0,0,0,0,0,0,26,35,74.3,431,98,13,15,86.7,12,15,80,1,2,50,0,0.1,0.1,3,1,3,1,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,90,9,8,0,0,1,0,0,2,1,0,0,1,0,0,33,41,80.5,566,115,18,19,94.7,12,13,92.3,3,5,60,0,0.3,0.2,5,0,4,3,2,1,1,1,0,0,0,0,0,0,1,0,1,0,1,2,0,2
19,Home,Manchester Utd,Tottenham Away,2,Y,90,4,3,0,0,0,1,0,1,1,0,0,0,0,0,28,38,73.7,352,75,21,26,80.8,6,6,100,0,4,0,1,0.1,0.1,2,2,1,0,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,90,3,2,1,0,0,0,0,0,0,0,0,0,0,0,24,34,70.6,418,76,15,19,78.9,5,8,62.5,4,5,80,0,0,0.1,1,0,3,0,3,2,1,0,0,2,1,2,50,1,0,0,0,0,2,0,0,-2
20,Away,Everton,Manchester Utd Home,1,Y,90,9,5,1,1,1,1,0,1,1,0,0,0,0,0,39,53,73.6,650,175,21,24,87.5,13,16,81.3,4,6,66.7,0,0.4,0.5,4,2,1,0,3,1,0,1,0,0,1,1,100,0,1,0,1,0,1,0,0,77,8,3,4,0,1,0,0,3,0,2,0,1,0,0,36,44,81.8,535,174,18,20,90,14,17,82.4,2,5,40,1,0.1,0.2,2,0,1,0,2,1,1,0,0,1,1,1,100,0,0,0,0,0,1,0,0,4
